Estación:       PLAYA ROSARITO,  BC
Operada por:    SMN EMAS
Longitud:       117°04'17"  Latitud: 32°22'39"  Altitud: 37

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
25/01/2018 23:00       277       268      6.47     13.70      15.9        80    1015.6       0.0     135.2
26/01/2018 00:00       254       248      8.77     16.30      15.3        98    1015.8       0.0     129.0
26/01/2018 01:00       300       308     14.17     28.60      14.8        89    1016.3       0.0      10.2
26/01/2018 02:00       307       301     12.43     26.40      14.3        80    1016.9       0.0       0.0
26/01/2018 03:00       307       294     11.73     24.20      13.9        79    1017.4       0.0       0.0
26/01/2018 04:00       302       289     10.08     20.20      13.8        79    1017.7       0.0       0.0
26/01/2018 05:00       332       319      4.92     17.10      13.6        80    1018.1       0.0       0.0
26/01/2018 06:00        49        46      3.90      9.30      12.0        83    1018.4       0.0       0.0
26/01/2018 07:00        49       271      3.08     12.00      11.9        84    1018.5       0.0       0.0
26/01/2018 08:00       346       278      3.92     17.60      12.8        84    1018.4       0.0       0.0
26/01/2018 09:00        53        73      4.87     10.80      11.1        88    1018.5       0.0       0.0
26/01/2018 10:00        58        50      5.28      8.80      10.0        93    1018.6       0.0       0.0
26/01/2018 11:00        54        52      5.40     10.40      10.3        94    1018.5       0.0       0.0
26/01/2018 12:00        50        48      6.07     11.40      10.4        94    1018.5       0.0       0.0
26/01/2018 13:00        50        47      7.45     13.40      10.1        95    1018.8       0.0       0.0
26/01/2018 14:00        56        59      6.61     12.60      10.0        93    1019.3       0.0       0.3
26/01/2018 15:00        55        48      6.33     13.20      10.1        90    1019.8       0.0      65.3
26/01/2018 16:00        54        52      6.60     12.20      13.1        78    1020.2       0.0     245.2
26/01/2018 17:00         2        71      1.54     18.80      15.3        65    1020.6       0.0     395.5
26/01/2018 18:00       288       281     10.97     19.70      15.4        70    1020.9       0.0     541.5
26/01/2018 19:00       301       298     15.55     30.60      15.5        66    1020.3       0.0     678.0
26/01/2018 20:00       313       306     18.58     31.50      15.7        56    1019.1       0.0     698.8
26/01/2018 21:00       313       309     19.65     33.20      15.6        56    1018.3       0.0     634.7
26/01/2018 22:00       314       318     18.79     36.50      15.8        54    1018.0       0.0     456.8
26/01/2018 23:00       321       318     17.86     34.50      15.6        56    1017.9       0.0     225.8
27/01/2018 00:00       322       319     14.95     31.60      15.2        60    1018.1       0.0     142.2
