12843 Budapest Observations at 00Z 22 Dec 2017


   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
 1012.0    139    0.2    0.2    100   3.85    240      4  272.4  282.9  273.1
 1000.0    233    0.2    0.2    100   3.90    270     12  273.4  284.0  274.0
  987.0    338    0.8    0.8    100   4.11    300     16  274.9  286.3  275.6
  986.0    346    0.8    0.8    100   4.13    301     16  275.1  286.4  275.7
  961.0    553    0.2    0.1     99   4.03    315     23  276.5  287.7  277.1
  925.0    859   -0.7   -0.9     99   3.89    335     23  278.6  289.5  279.2
  917.0    928   -0.9   -1.1     99   3.86    345     23  279.1  289.9  279.7
  880.0   1256   -2.0   -2.1     99   3.74    335     19  281.3  291.9  281.9
  869.0   1357   -2.3   -2.4     99   3.71    339     22  281.9  292.5  282.6
  850.0   1532   -3.1   -7.6     71   2.55    345     25  282.9  290.4  283.3
  849.0   1541   -3.1   -8.1     68   2.46    345     25  283.0  290.2  283.4
  834.0   1683   -1.7  -14.7     36   1.47    349     27  285.9  290.4  286.2
  828.0   1740   -1.7  -14.7     36   1.48    350     27  286.5  291.1  286.8
  822.0   1798   -1.7  -14.7     36   1.50    350     27  287.1  291.7  287.4
  793.0   2083   -3.5  -22.5     21   0.80    349     26  288.1  290.7  288.3
  762.0   2396   -5.5  -16.5     42   1.39    348     25  289.3  293.6  289.5
  734.0   2689   -7.5  -24.5     24   0.72    346     24  290.2  292.5  290.3
  730.0   2731   -7.7  -15.7     53   1.55    346     24  290.4  295.2  290.7
  700.0   3056  -10.5  -18.5     52   1.28    345     23  290.8  294.9  291.1
  699.0   3067  -10.7  -17.7     56   1.37    344     23  290.7  295.0  291.0
  695.0   3111  -10.9  -16.9     61   1.47    342     23  291.0  295.6  291.2
  684.0   3234  -10.7  -12.2     89   2.20    335     21  292.5  299.3  292.9
  675.0   3336  -10.5  -13.2     81   2.06    338     22  293.9  300.3  294.2
  639.0   3755  -13.9  -15.1     90   1.86    350     25  294.7  300.5  295.0
  616.0   4034  -16.1  -16.4     98   1.73    340     26  295.2  300.7  295.5
  592.0   4331  -18.2  -18.4     98   1.52    330     27  296.1  301.0  296.4
  563.0   4707  -20.9  -21.0     99   1.28    336     33  297.2  301.4  297.5
  559.0   4760  -19.5  -22.2     79   1.16    337     34  299.5  303.3  299.7
  547.0   4920  -20.8  -23.3     80   1.08    340     37  299.9  303.4  300.1
  500.0   5580  -25.9  -27.9     83   0.78    340     37  301.4  304.0  301.5
  489.0   5740  -27.1  -28.2     91   0.77    335     35  301.8  304.4  301.9
  486.0   5784  -27.5  -28.3     93   0.77    334     35  301.9  304.5  302.0
  476.0   5932  -28.5  -32.7     67   0.52    330     36  302.4  304.2  302.6
  465.0   6098  -29.7  -33.4     70   0.49    326     36  303.0  304.7  303.1
  435.0   6568  -33.3  -39.3     55   0.29    315     38  304.2  305.3  304.3
  414.0   6912  -34.7  -49.7     20   0.10    306     40  306.8  307.2  306.8
  400.0   7150  -36.7  -47.7     31   0.13    300     41  307.2  307.7  307.2
  387.0   7375  -38.6  -49.6     30   0.11    295     37  307.6  308.0  307.6
  341.0   8238  -46.1  -57.1     28   0.05    288     37  308.8  309.0  308.8
  331.0   8436  -47.9  -54.9     44   0.07    286     37  308.9  309.2  308.9
  311.0   8846  -51.5  -61.5     29   0.03    282     37  309.4  309.6  309.5
  300.0   9080  -52.3  -63.3     25   0.03    280     37  311.5  311.6  311.5
  294.0   9209  -53.0  -64.0     25   0.02    275     39  312.3  312.4  312.3
  266.0   9846  -56.6  -67.6     24   0.02    285     45  316.1  316.2  316.1
  257.0  10065  -57.9  -68.8     23   0.01    300     47  317.4  317.5  317.4
  251.0  10215  -58.7  -69.7     23   0.01    304     45  318.3  318.4  318.3
  250.0  10240  -58.9  -69.9     23   0.01    305     45  318.4  318.4  318.4
