12843 Budapest Observations at 00Z 22 Jun 2017


   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
  999.0    139   20.4   11.4     56   8.54     60      4  293.6  318.4  295.1
  989.0    226   23.6   15.6     61  11.39     41      6  297.7  331.0  299.7
  976.0    341   24.2    8.2     36   7.03     17      8  299.4  320.5  300.7
  967.0    422   24.3    7.3     34   6.70      0     10  300.3  320.5  301.5
  957.0    512   24.4    6.4     31   6.34    354     10  301.3  320.5  302.5
  925.0    807   22.0    9.0     43   7.84    335     12  301.8  325.4  303.2
  894.0   1101   19.5    9.2     51   8.24    300     17  302.2  326.9  303.7
  869.0   1345   17.4    9.4     59   8.59    308     17  302.4  328.3  304.0
  850.0   1534   15.8    6.8     55   7.34    315     17  302.7  324.9  304.0
  816.0   1876   13.4    1.6     45   5.28    330     19  303.6  319.9  304.6
  756.0   2516    8.8   -8.2     29   2.74    330     30  305.4  314.2  305.9
  750.0   2581    8.2   -8.0     31   2.80    330     31  305.5  314.5  306.0
  704.0   3100    3.6   -6.4     48   3.38    330     31  305.9  316.7  306.6
  700.0   3146    3.4   -7.6     44   3.10    330     31  306.2  316.1  306.8
  638.0   3892   -0.4  -29.1      9   0.54    320     21  310.1  312.0  310.2
  637.0   3905   -0.5  -29.5      9   0.52    320     21  310.1  312.0  310.2
  602.0   4352   -2.6  -28.4     12   0.62    315     25  312.7  314.9  312.8
  564.0   4868   -5.1  -27.1     16   0.74    331     27  315.7  318.4  315.9
  554.0   5006   -6.2  -27.4     17   0.73    335     27  316.1  318.7  316.2
  500.0   5800  -12.3  -29.3     23   0.68    325     31  318.0  320.5  318.1
  486.0   6016  -13.7  -33.3     17   0.48    325     29  318.9  320.6  319.0
  474.0   6205  -14.9  -36.9     13   0.34    317     31  319.6  321.0  319.7
  460.0   6431  -16.7  -39.7     12   0.27    306     33  320.1  321.2  320.2
  458.0   6463  -17.0  -39.3     13   0.28    305     33  320.2  321.3  320.2
  421.0   7087  -22.7  -31.7     44   0.64    308     33  320.7  323.1  320.8
  415.0   7192  -23.3  -38.3     24   0.34    309     33  321.2  322.5  321.3
  400.0   7460  -25.5  -36.5     35   0.42    310     33  321.8  323.4  321.9
  391.0   7625  -26.7  -37.7     35   0.38    311     33  322.3  323.8  322.4
  382.0   7793  -28.1  -33.0     63   0.63    312     34  322.6  324.9  322.7
  322.0   8986  -37.9  -47.1     37   0.17    320     37  325.2  325.9  325.3
  300.0   9480  -41.9  -52.9     29   0.09    320     39  326.2  326.6  326.2
  299.0   9503  -42.1  -53.1     29   0.09    320     39  326.2  326.6  326.2
  269.0  10201  -48.7  -57.6     35   0.06    335     37  326.7  326.9  326.7
  257.0  10502  -51.5  -59.5     38   0.05    329     36  326.8  327.0  326.8
  250.0  10680  -52.7  -60.7     37   0.04    325     35  327.6  327.8  327.6
  226.0  11326  -57.5  -66.5     31   0.02    321     32  329.8  329.9  329.8
  222.0  11438  -58.4  -66.4     35   0.02    320     31  330.1  330.2  330.1
  210.0  11786  -61.3  -66.2     52   0.02    320     39  330.9  331.0  330.9
  209.0  11816  -61.2  -66.6     49   0.02    320     39  331.4  331.5  331.4
  201.0  12059  -60.8  -70.2     28   0.01    305     43  335.9  336.0  335.9
  200.0  12090  -60.7  -70.7     26   0.01    305     45  336.5  336.6  336.5
  192.0  12346  -58.6  -77.0      8   0.01    315     54  343.8  343.8  343.8
  186.0  12545  -57.0  -81.9      3   0.00    325     49  349.6  349.6  349.6
  185.0  12579  -56.7  -82.7      2   0.00    325     48  350.5  350.6  350.5
  170.0  13116  -56.4  -84.0      2   0.00    320     35  359.6  359.7  359.6
  164.0  13344  -56.2  -84.5      2   0.00    320     39  363.6  363.6  363.6
  150.0  13910  -55.9  -85.9      1   0.00    315     29  373.6  373.6  373.6
  145.0  14127  -55.3  -86.5      1   0.00    300     35  378.3  378.3  378.3
  142.0  14261  -54.9  -86.9      1   0.00    315     35  381.2  381.2  381.2
  140.0  14351  -55.1  -87.0      1   0.00    325     35  382.5  382.5  382.5
  133.0  14677  -55.6  -87.5      1   0.00    305     27  387.1  387.1  387.1
  129.0  14871  -56.0  -87.7      1   0.00    320     25  389.8  389.9  389.8
  125.0  15071  -56.4  -88.0      1   0.00    305     25  392.7  392.7  392.7
  118.0  15438  -57.0  -88.5      1   0.00    310     21  398.0  398.0  398.0
  115.0  15602  -57.3  -88.7      1   0.00    325     21  400.4  400.4  400.4
  112.0  15770  -57.6  -88.9      1   0.00    315     19  402.9  402.9  402.9
  106.0  16120  -58.2  -89.4      1   0.00    295     25  408.1  408.1  408.1
  100.0  16490  -58.9  -89.9      1   0.00    320     29  413.6  413.7  413.6
   95.0  16814  -58.6  -89.8      1   0.00    335     21  420.3  420.3  420.3
   92.0  17016  -58.5  -89.7      1   0.00    305     10  424.5  424.5  424.5
   91.0  17085  -58.4  -89.7      1   0.00    290     12  425.9  425.9  425.9
   89.0  17225  -58.3  -89.6      1   0.00    290     17  428.8  428.8  428.8
